intervalT,total_orig_obs,total_dest_obs,total_orig_scaled,total_modeled,n_orig,n_dest
T19,2217,1843,1843,1843,16,11
T20,2277,1923,1923,1923,16,11
T21,2372,2140,2140,2140,16,11
T22,2329,2303,2303,2303,16,11
T23,2330,2480,2480,2480,16,11
T24,2265,2478,2478,2478,16,11
T25,2225,2423,2423,2423,16,11
T26,2295,2229,2229,2229,16,11
