iter,max_row_err,max_col_err,intervalT
0,,,T19
1,2.8421709430404e-14,16.6783124684087,T19
2,2.8421709430404e-14,3.33314659141553,T19
3,1.4210854715202e-14,0.716664343992818,T19
4,2.8421709430404e-14,0.155561768896916,T19
0,,,T20
1,2.8421709430404e-14,18.3561861188732,T20
2,1.4210854715202e-14,3.58738382635778,T20
3,2.8421709430404e-14,0.755736553773545,T20
4,2.8421709430404e-14,0.160865656174281,T20
0,,,T21
1,2.8421709430404e-14,21.5320334996992,T21
2,5.6843418860808e-14,4.36630485363571,T21
3,5.6843418860808e-14,0.949728506380211,T21
4,7.105427357601e-15,0.208549920642895,T21
0,,,T22
1,1.4210854715202e-14,30.4600205604018,T22
2,1.4210854715202e-14,6.82796798123195,T22
3,1.4210854715202e-14,1.64151654377588,T22
4,1.4210854715202e-14,0.399213299341227,T22
0,,,T23
1,1.4210854715202e-14,33.299046060725,T23
2,5.6843418860808e-14,7.85862723705901,T23
3,5.6843418860808e-14,1.99169698470621,T23
4,5.6843418860808e-14,0.511193384924411,T23
5,5.6843418860808e-14,0.131582613839214,T23
0,,,T24
1,2.8421709430404e-14,33.8790751168718,T24
2,5.6843418860808e-14,8.03778511570346,T24
3,1.13686837721616e-13,2.03562533137529,T24
4,5.6843418860808e-14,0.521935526288189,T24
5,1.13686837721616e-13,0.134220621546774,T24
0,,,T25
1,2.8421709430404e-14,43.0161371858887,T25
2,5.6843418860808e-14,11.8335673873146,T25
3,1.4210854715202e-14,3.51835644074492,T25
4,2.8421709430404e-14,1.06495972106086,T25
5,5.6843418860808e-14,0.323994982252088,T25
0,,,T26
1,1.4210854715202e-14,28.1414894225188,T26
2,2.8421709430404e-14,6.19221934506015,T26
3,2.8421709430404e-14,1.46910600923701,T26
4,1.4210854715202e-14,0.352932877598676,T26
